"","genes","Description","ENSEMBL","logFC","logCPM","F","PValue","FDR","Significance"
"12611","KRT5","keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]","ENSG00000186081",-5.48491503494562,3.78193507223735,11.0580677635751,0.00260323992246077,1,"Down"
"4568","COX18","cytochrome c oxidase assembly factor COX18 [Source:HGNC Symbol;Acc:HGNC:26801]","ENSG00000163626",-0.196126109463705,4.63665431786622,11.0069982772166,0.00265409401022125,1,"No"
"14544","PRSS8","serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]","ENSG00000052344",-5.17162456632845,0.9699987269961,10.8143082343758,0.00285590769661011,1,"Down"
"12845","SLITRK6","SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503]","ENSG00000184564",-5.20098358713997,-2.28779567420803,11.0076863637767,0.00295442364764451,1,"Down"
"3379","UPK1B","uroplakin 1B [Source:HGNC Symbol;Acc:HGNC:12578]","ENSG00000114638",-4.66201104113359,-0.431659576507405,10.5496195680203,0.00316077584207437,1,"Down"
"4512","TLL1","tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]","ENSG00000038295",-6.75035578208319,-1.68618749065584,10.5299482423368,0.00318480479460584,1,"Down"
"1578","SLC2A1","solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]","ENSG00000117394",-1.59459664970699,6.11811472602861,10.510639984964,0.00320858334755251,1,"Down"
"7422","GHRHR","growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]","ENSG00000106128",1.14632530056489,1.18254155772041,10.4593055926688,0.00327274600769419,1,"No"
"1375","CHIT1","chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]","ENSG00000133063",2.96684494023303,2.02098934701543,10.4105233812992,0.00333501217417626,1,"Up"
"17814","KLK11","kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359]","ENSG00000167757",-6.73493941805974,-1.81813570521214,10.2600272443095,0.00353535897199662,1,"Down"
"9747","AQP3","aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]","ENSG00000165272",-4.34026156807879,1.24098778767587,10.2200894661048,0.00359069599184226,1,"Down"
"17708","TGFBR3L","transforming growth factor beta receptor 3 like [Source:HGNC Symbol;Acc:HGNC:44152]","ENSG00000260001",-0.942412670365988,-0.101605112429453,10.0079688847234,0.0039008327039236,1,"No"
"16411","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","ENSG00000053747",-2.85787562209636,1.28206749726734,9.8123187653558,0.00421283570634743,1,"Down"
"7804","PAXIP1-DT","PAXIP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27328]","ENSG00000273344",-0.459501930635906,4.00555973309028,9.62546031330531,0.0045363010351499,1,"No"
"5278","SH3RF2","SH3 domain containing ring finger 2 [Source:HGNC Symbol;Acc:HGNC:26299]","ENSG00000156463",-2.04869607767588,0.201588023464186,9.60462207819683,0.00457401574443738,1,"Down"
"758","CNIH4","cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]","ENSG00000143771",-0.266056062703776,4.52772372031952,9.59744816210192,0.00458707850787106,1,"No"
"11544","PRKCQ","protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]","ENSG00000065675",-1.01051925547957,1.7479628583413,9.59242202904778,0.00459625461901999,1,"No"
"16693","FLJ16779","uncharacterized LOC100192386 [Source:NCBI gene (formerly Entrezgene);Acc:100192386]","ENSG00000275620",1.23453374234495,6.20423338699798,9.50755136085186,0.00475425612684698,1,"No"
"2786","SCN9A","sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]","ENSG00000169432",0.899427860689648,2.9388923673741,9.46368525872209,0.00483822960493616,1,"No"
"10095","TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]","ENSG00000137699",-4.49391563294483,1.72198037389369,9.4467377819894,0.00487110354418163,1,"Down"
"7758","IQCE","IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]","ENSG00000106012",0.230501120051732,6.72548886384893,9.36734187730931,0.00502838359750451,1,"No"
"16966","KCNS1","potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]","ENSG00000124134",1.04108977447842,2.09425651720477,9.23389680244783,0.00530533134637306,1,"No"
"15996","TSPAN10","tetraspanin 10 [Source:HGNC Symbol;Acc:HGNC:29942]","ENSG00000182612",-1.11461193528236,2.36078047902741,9.22567156933996,0.00532293697129758,1,"No"
"11351","AIFM2","apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]","ENSG00000042286",-0.299531685439822,4.41406777159669,9.21738178997349,0.00534074514383387,1,"No"
"11718","GATA3","GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]","ENSG00000107485",-5.05839588280083,-0.140871574646933,9.1917291877003,0.00539626454840829,1,"Down"
"1635","SYTL1","synaptotagmin like 1 [Source:HGNC Symbol;Acc:HGNC:15584]","ENSG00000142765",-3.08931306333244,0.921913086478839,9.09176943145877,0.00561867918927187,1,"Down"
"14508","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]","ENSG00000127564",0.452252931691902,4.12470875110403,9.08282512981368,0.00563906202938998,1,"No"
"1595","CRYBG2","crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295]","ENSG00000176092",-4.28102421142011,0.137073732122521,9.05967698810356,0.00569218841592517,1,"Down"
"240","TENT5C","terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]","ENSG00000183508",-1.56722197928058,2.12407478613129,9.05780474997745,0.00569650908706565,1,"Down"
"14072","DUOX2","dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]","ENSG00000140279",-3.79250514151855,1.01275030068034,9.05156889897058,0.00571092570343315,1,"Down"
"5225","LIX1","limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]","ENSG00000145721",0.47575921389368,6.67908420864257,9.02802066331303,0.00576572620142411,1,"No"
"3320","IMPG2","interphotoreceptor matrix proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:18362]","ENSG00000081148",-1.03279341055257,2.11763980586344,8.91266138396918,0.00604259372476944,1,"No"
"5088","CDH12","cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]","ENSG00000154162",-3.13631635387575,-1.01772571552447,8.88578607926803,0.00610915555738336,1,"Down"
"1180","ELF3","E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]","ENSG00000163435",-3.40941340631497,2.10427787048945,8.87968174155222,0.00612438521021057,1,"Down"
"2656","COL4A3","collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]","ENSG00000169031",-3.02921860866388,-0.538191418185946,8.87854806531415,0.0061272181610079,1,"Down"
"18624","MB","myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]","ENSG00000198125",-2.22188601607225,-0.723078914889604,8.84620776246835,0.00620863807290998,1,"Down"
"4403","TACR3","tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]","ENSG00000169836",-6.39207209091385,-0.359439646341281,8.80121539693612,0.00632387856519419,1,"Down"
"7443","CLDN4","claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]","ENSG00000189143",-2.38273599158576,2.60015272798552,8.7470630002666,0.00646568262607002,1,"Down"
"3358","FHIT","fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]","ENSG00000189283",-2.15391055961837,3.96922859387652,8.69937277648152,0.0065934381541383,1,"Down"
"7771","ADCYAP1R1","ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]","ENSG00000078549",0.606141713724658,9.3536779355467,8.69777263096818,0.00659777217211916,1,"No"
"15115","SNHG19","small nucleolar RNA host gene 19 [Source:HGNC Symbol;Acc:HGNC:49574]","ENSG00000260260",-0.611859017005973,2.19254002539719,8.65191115208445,0.00672331853878631,1,"No"
"9829","CD274","CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]","ENSG00000120217",-0.911662313940954,0.965869308741695,8.64247276111292,0.00674947810562851,1,"No"
"15827","TTLL6","tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:HGNC:26664]","ENSG00000170703",-1.18188339701845,1.67233988308602,8.6156378849242,0.00682446230763224,1,"No"
"13701","LINC00639","long intergenic non-protein coding RNA 639 [Source:HGNC Symbol;Acc:HGNC:27502]","ENSG00000259070",1.46133894512283,0.844774034290665,8.56733196791536,0.00696174256417675,1,"No"
"15232","GRB7","growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]","ENSG00000141738",-2.40896855975173,0.327563866278282,8.55819063726317,0.00698805860157024,1,"Down"
"6726","C6orf132","chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]","ENSG00000188112",-4.11682728886274,0.527533841140055,8.53948140262914,0.0070422576096942,1,"Down"
"17578","MIR23AHG","miR-23a/27a/24-2 cluster host gene [Source:HGNC Symbol;Acc:HGNC:27620]","ENSG00000267519",-0.967858740369102,3.3582097489225,8.52452757036899,0.0070859072690456,1,"No"
"15429","TMEM88","transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]","ENSG00000167874",-0.733775478044294,1.71221025149673,8.52224771603117,0.00709258796270885,1,"No"
"2905","SLC4A5","solute carrier family 4 member 5 [Source:HGNC Symbol;Acc:HGNC:18168]","ENSG00000188687",-1.74100772400819,2.28409606623365,8.45975848078088,0.00727840293600835,1,"Down"
"6898","HCG25","HLA complex group 25 [Source:HGNC Symbol;Acc:HGNC:20196]","ENSG00000232940",-0.556213229725251,1.21926262567748,8.42654361017755,0.00737932544876386,1,"No"
"10294","EHF","ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]","ENSG00000135373",-3.81502392958286,0.688119031799114,8.41864348380375,0.0074035538879228,1,"Down"
"16378","INO80C","INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994]","ENSG00000153391",-0.358727896736369,2.83173472698506,8.41557488854956,0.007412988177185,1,"No"
"16034","WNT9B","Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]","ENSG00000158955",1.64861878224664,-0.0311125991008127,8.38926412709283,0.00749442023057344,1,"Up"
"2103","LINC02936","long intergenic non-protein coding RNA 2936 [Source:HGNC Symbol;Acc:HGNC:55940]","ENSG00000227359",-3.84045137148389,-1.02739324778756,8.38196108959857,0.00751719589923922,1,"Down"
"9958","B4GALT1","beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]","ENSG00000086062",-1.00749743839372,5.25860197343221,8.33302598825529,0.00767177029242708,1,"No"
"8727","PKHD1L1","PKHD1 like 1 [Source:HGNC Symbol;Acc:HGNC:20313]","ENSG00000205038",1.8617862553092,-1.5104441910247,8.30789295515474,0.00775250510694267,1,"Up"
"17531","CEACAM1","CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]","ENSG00000079385",-3.11254029735182,0.121556932834022,8.29175562704946,0.00780483161533842,1,"Down"
"13821","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]","ENSG00000080644",-3.69713858878501,0.911743460591141,8.28792327541109,0.00781731487013233,1,"Down"
"4555","NIPAL1","NIPA like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27194]","ENSG00000163293",-2.65334998373878,-1.43208221645312,8.2805020798029,0.00784155019997297,1,"Down"
"12750","AEBP2","AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]","ENSG00000139154",-0.307336454200443,5.15815578101774,8.26057826857914,0.00790702180432517,1,"No"
"440","PLD5","phospholipase D family member 5 [Source:HGNC Symbol;Acc:HGNC:26879]","ENSG00000180287",-3.47836409697012,1.39805833757163,8.24323624543386,0.00796449529133899,1,"Down"
"16692","NKAIN4","sodium/potassium transporting ATPase interacting 4 [Source:HGNC Symbol;Acc:HGNC:16191]","ENSG00000101198",0.76060264427115,6.30695384341045,8.20889895189005,0.00807964319326988,1,"No"
"13394","TTLL5","tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963]","ENSG00000119685",0.278520908160493,5.235587987931,8.17870097672063,0.00818241316949066,1,"No"
"10154","CDC42BPG","CDC42 binding protein kinase gamma [Source:HGNC Symbol;Acc:HGNC:29829]","ENSG00000171219",-2.78895473358645,1.25283827471678,8.1482749116856,0.00828740458079353,1,"Down"
"15805","CLDN7","claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]","ENSG00000181885",-5.22330245033817,1.08053228526795,8.14257252018577,0.00830724506158734,1,"Down"
"15912","KRT17","keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]","ENSG00000128422",-7.16228605597764,2.21746758114817,8.29389873017409,0.00837314129410405,1,"Down"
"14626","ESRP2","epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]","ENSG00000103067",-2.25261312547982,0.286693482005945,8.08772769805128,0.00850073887147504,1,"Down"
"2506","TTLL4","tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]","ENSG00000135912",-0.443366389575957,5.94411069579781,8.06766749186394,0.00857273662925518,1,"No"
"11457","FZD8","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]","ENSG00000177283",-0.916402136510238,6.28306438225558,8.05249052868107,0.00862765056056407,1,"No"
"14114","DUOXA1","dual oxidase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:26507]","ENSG00000140254",-2.05422653349305,-0.335871278564566,8.04973917754614,0.00863764669370486,1,"Down"
"13142","SNX6","sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]","ENSG00000129515",0.17016237248874,5.93303727127189,7.99772072740983,0.00882903924033815,1,"No"
"16398","SETBP1-DT","SETBP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54819]","ENSG00000267414",-0.676965451695494,1.9115436940643,7.89785519765044,0.009209593711448,1,"No"
"12487","KRT8","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]","ENSG00000170421",-5.29177828480614,4.005283409186,7.80040403059361,0.00959828992084014,1,"Down"
"1235","SFN","stratifin [Source:HGNC Symbol;Acc:HGNC:10773]","ENSG00000175793",-4.40460335363388,1.21809375901243,7.78994562986381,0.00964105854505862,1,"Down"
"9240","SLC28A3","solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484]","ENSG00000197506",-4.11105350595138,0.909907799534434,7.77607685005153,0.00969809520910783,1,"Down"
"1428","SPOCD1","SPOC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26338]","ENSG00000134668",-1.65453672330704,2.69899215824901,7.77285866472157,0.00971138296395977,1,"Down"
"5786","GPX3","glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]","ENSG00000211445",-1.55823017607056,3.06168037757671,7.76011997454119,0.00976417615419379,1,"Down"
"16160","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]","ENSG00000006042",-0.391666544819639,6.37555443576087,7.73058259907557,0.00988779975423175,1,"No"
"9041","TMEM249","transmembrane protein 249 [Source:HGNC Symbol;Acc:HGNC:44155]","ENSG00000261587",1.03414144238174,-0.624727278519025,7.7263292117251,0.00990574209743739,1,"No"
"12243","SCNN1A","sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]","ENSG00000111319",-4.27136835731338,1.69012216342323,7.72229242069602,0.00992280368867331,1,"Down"
"10412","MMP10","matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]","ENSG00000166670",-5.71027278765589,-0.250975890670924,7.71837398167103,0.00993939579962159,1,"Down"
"10026","TSPAN18","tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]","ENSG00000157570",0.768595450835143,6.17168914581269,7.70022176244458,0.0100166557662184,1,"No"
"5322","NEURL1B","neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]","ENSG00000214357",0.569342270568229,5.62096264766248,7.68437019069702,0.0100846609653572,1,"No"
"1770","ANGPTL7","angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]","ENSG00000171819",-5.04525700026275,-0.0834342442372522,7.65328172349228,0.0102195052125679,1,"Down"
"11714","PRKCQ-AS1","PRKCQ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44689]","ENSG00000237943",-0.684781429458063,1.79391114117498,7.64930244924299,0.0102369069376985,1,"No"
"8728","GRHL2","grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]","ENSG00000083307",-3.54764127999907,-0.705758964813786,7.63927830546847,0.0102808872402058,1,"Down"
"572","SLC1A7","solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945]","ENSG00000162383",-2.0477681853732,0.51435653317871,7.63123953768434,0.0103163061577834,1,"Down"
"18280","EPS8L1","EPS8 like 1 [Source:HGNC Symbol;Acc:HGNC:21295]","ENSG00000131037",-2.21235078783176,1.56667006358664,7.58665235817183,0.0105151969180953,1,"Down"
"15470","PRCD","photoreceptor disc component [Source:HGNC Symbol;Acc:HGNC:32528]","ENSG00000214140",-1.25649837909444,0.69248041899411,7.53554457761238,0.0107483490815778,1,"No"
"1698","NFIA-AS2","NFIA antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40401]","ENSG00000237928",0.679795112582867,3.85584615129384,7.50460038807906,0.0108922608806758,1,"No"
"1210","PEX11B","peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]","ENSG00000131779",-0.225111531808085,4.46825666225046,7.48996922280175,0.0109610389088787,1,"No"
"17910","KCNN4","potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]","ENSG00000104783",-2.23940643992673,-0.819341795856188,7.47378736929224,0.0110376603529785,1,"Down"
"15370","INPP5K","inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]","ENSG00000132376",-0.303683945156558,5.59389905469019,7.45916073672424,0.0111074223572793,1,"No"
"9033","CHMP4C","charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]","ENSG00000164695",-3.56059722788406,-1.45362301844287,7.45583824446695,0.0111233362150622,1,"Down"
"7430","EPHA1","EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]","ENSG00000146904",-1.76027534388557,0.374952549401363,7.44709885482812,0.0111653148487383,1,"Down"
"15937","CDC42EP4","CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]","ENSG00000179604",0.377166225478132,8.57614081398773,7.4384217031608,0.0112071661358185,1,"No"
"5188","IRX1","iroquois homeobox 1 [Source:HGNC Symbol;Acc:HGNC:14358]","ENSG00000170549",2.08514921665592,1.31230548407441,7.42858646532822,0.0112548107774209,1,"Up"
"9833","LINGO2","leucine rich repeat and Ig domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21207]","ENSG00000174482",-4.04470034166389,0.939110345582249,7.41354870718067,0.0113280870748803,1,"Down"
"1724","PRDM16-DT","PRDM16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48664]","ENSG00000177133",-0.874388639927911,6.83541149507642,7.39747129525922,0.0114070075087358,1,"No"
"8831","FAM83H","family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]","ENSG00000180921",-0.702750940154132,4.4445031455936,7.38848400910243,0.0114513862149234,1,"No"
"4405","GPAT3","glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]","ENSG00000138678",-3.78689520954135,-0.0121230603639101,7.38680539396382,0.0114596960502952,1,"Down"
"3039","GBX2","gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]","ENSG00000168505",2.44350038534096,0.703318806070078,7.36607241172958,0.0115628789779305,1,"Up"
"18077","LSR","lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]","ENSG00000105699",-2.1774369512062,2.51338703874856,7.35228902466829,0.0116320381733245,1,"Down"
"13728","CATSPERB","cation channel sperm associated auxiliary subunit beta [Source:HGNC Symbol;Acc:HGNC:20500]","ENSG00000133962",-1.37028537514739,-0.372084459068361,7.35007935571953,0.0116431674184412,1,"No"
"747","TINAGL1","tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]","ENSG00000142910",-5.45845977048036,1.50177298868089,7.34406123815195,0.0116735375023986,1,"Down"
"10436","ART5","ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]","ENSG00000167311",-1.25154320899778,-0.681694915415175,7.25201796804544,0.0121490022131804,1,"No"
"12990","ATP11A","ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552]","ENSG00000068650",-0.32290242622628,5.56458019444558,7.24788509467206,0.0121708431508968,1,"No"
"14887","MYL11","myosin light chain 11 [Source:HGNC Symbol;Acc:HGNC:29824]","ENSG00000180209",-2.74938164525184,-1.29707312862208,7.22783234376489,0.0122774280271053,1,"Down"
"16292","RBBP8","RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]","ENSG00000101773",-0.534100259617996,4.16540145694607,7.21397053918576,0.0123517041840378,1,"No"
"3493","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]","ENSG00000176597",0.328348264382937,4.5948374937571,7.20606892013015,0.0123942638625098,1,"No"
"4394","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]","ENSG00000196616",-3.30181838136569,-0.00142165231608468,7.18210304272483,0.012524334472451,1,"Down"
"3384","SEMA3F","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","ENSG00000001617",-1.21736407233934,3.19720217343443,7.16839884595041,0.0125993831734726,1,"No"
"15288","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","ENSG00000005884",-1.00445466940977,5.81234224707091,7.16607959171145,0.0126121328568818,1,"No"
"656","HMGCS2","3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]","ENSG00000134240",-6.25993729238187,0.550040281719691,7.14614226243592,0.0127223196928689,1,"Down"
"16767","ROMO1","reactive oxygen species modulator 1 [Source:HGNC Symbol;Acc:HGNC:16185]","ENSG00000125995",-0.292497925070814,4.77009302352778,7.13176759163965,0.0128024179703964,1,"No"
"2125","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]","ENSG00000136542",-2.22581351354233,2.20491079400787,7.1218016206995,0.0128582745002095,1,"Down"
